"AGED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE
04080,ARKANSAS,CHICOT,"1,876","9,347,125",415.21,"8,966,831",398.31,"82,928","262,365","34,999","1,764","7,435,529",351.26,0.948
04090,ARKANSAS,CLARK,"3,043","9,466,720",259.25,"9,298,649",254.65,"38,370","113,206","16,493","2,835","9,540,172",280.43,0.967
04100,ARKANSAS,CLAY,"2,776","12,730,966",382.17,"12,314,039",369.66,"142,177","233,535","41,214","2,619","11,004,307",350.14,0.913
04110,ARKANSAS,CLEBURNE,"5,247","16,674,522",264.83,"16,197,939",257.26,"144,099","282,105","50,377","5,037","19,503,419",322.67,0.894
04120,ARKANSAS,CLEVELAND,"1,249","4,297,591",286.74,"4,091,026",272.95,"77,606","76,483","52,475","1,187","5,103,857",358.32,0.983
04130,ARKANSAS,COLUMBIA,"3,387","14,216,173",349.77,"13,631,698",335.39,"266,286","233,955","84,233","3,221","13,244,330",342.66,0.940
04140,ARKANSAS,CONWAY,"3,179","12,154,579",318.62,"11,767,019",308.46,"150,612","183,535","53,412","2,982","11,883,257",332.08,0.947
04150,ARKANSAS,CRAIGHEAD,"11,503","49,174,258",356.24,"47,509,581",344.18,"447,575","1,025,563","191,538","10,792","43,192,576",333.52,0.952
04160,ARKANSAS,CRAWFORD,"5,692","22,287,452",326.30,"21,540,995",315.37,"223,004","463,060","60,392","5,166","20,820,364",335.86,0.960
04170,ARKANSAS,CRITTENDEN,"4,866","20,179,273",345.58,"18,658,607",319.54,"633,207","634,341","253,117","4,442","16,308,134",305.95,1.038
04180,ARKANSAS,CROSS,"2,381","11,171,971",391.01,"10,761,822",376.66,"152,669","201,812","55,668","2,255","8,675,495",320.60,0.929
04190,ARKANSAS,DALLAS,"1,114","4,545,453",340.02,"4,395,077",328.78,"56,481","66,888","27,006","1,054","5,061,991",400.22,0.949
04200,ARKANSAS,DESHA,"1,852","8,177,733",367.97,"7,845,717",353.03,"124,968","134,999","72,050","1,752","8,525,550",405.52,0.978
04210,ARKANSAS,DREW,"2,332","10,266,502",366.87,"9,931,036",354.88,"93,504","190,190","51,771","2,207","9,988,166",377.14,0.981
04220,ARKANSAS,FAULKNER,"12,045","40,464,651",279.95,"39,093,622",270.47,"514,332","670,118","186,577","11,052","45,058,317",339.74,0.922
04230,ARKANSAS,FRANKLIN,"2,217","9,625,415",361.80,"9,388,925",352.91,"73,399","148,705","14,385","2,069","8,201,391",330.33,0.923
04240,ARKANSAS,FULTON,"2,093","7,428,537",295.77,"7,258,074",288.98,"50,543","95,153","24,765","1,977","8,324,852",350.90,0.970
04250,ARKANSAS,GARLAND,"20,899","73,188,547",291.83,"71,599,772",285.50,"464,661","961,550","162,563","19,668","82,127,199",347.97,0.940
04260,ARKANSAS,GRANT,"2,241","8,784,999",326.68,"8,396,352",312.22,"152,680","163,157","72,810","2,099","9,199,076",365.22,0.957
04270,ARKANSAS,GREENE,"5,064","21,311,566",350.70,"20,457,295",336.65,"241,929","536,218","76,123","4,782","18,374,875",320.21,0.939
04280,ARKANSAS,HEMPSTEAD,"2,476","10,508,466",353.68,"10,185,457",342.81,"101,262","178,985","42,759","2,325","8,554,036",306.60,0.985
04290,ARKANSAS,HOT SPRING,"4,408","17,579,208",332.34,"17,237,489",325.88,"55,403","261,867","24,446","4,133","17,342,305",349.67,0.991
04300,ARKANSAS,HOWARD,"2,057","8,246,484",334.08,"7,975,281",323.10,"97,525","140,776","32,900","1,916","8,146,099",354.30,0.913
04310,ARKANSAS,INDEPENDENCE,"5,656","24,259,112",357.42,"23,366,979",344.28,"177,875","660,755","53,502","5,360","25,149,307",391.00,1.010
04320,ARKANSAS,IZARD,"2,377","8,085,613",283.47,"7,856,648",275.44,"62,507","145,134","21,323","2,245","9,356,711",347.32,0.917
04330,ARKANSAS,JACKSON,"2,583","12,934,845",417.31,"12,532,049",404.31,"104,896","252,869","45,030","2,472","10,859,207",366.07,1.043
04340,ARKANSAS,JEFFERSON,"8,812","33,850,929",320.12,"31,710,974",299.88,"844,714","744,886","550,354","8,003","32,982,278",343.44,0.987
04350,ARKANSAS,JOHNSON,"2,794","9,834,937",293.34,"9,460,520",282.17,"107,669","232,454","34,293","2,573","9,098,178",294.67,0.881
04360,ARKANSAS,LAFAYETTE,"1,048","4,364,641",347.06,"4,222,728",335.78,"39,020","84,928","17,964",993,"3,934,240",330.16,0.992
04370,ARKANSAS,LAWRENCE,"2,987","11,649,909",325.02,"11,253,588",313.96,"117,830","230,170","48,319","2,834","12,155,674",357.44,0.926
04380,ARKANSAS,LEE,"1,037","4,129,256",331.83,"3,928,924",315.73,"76,359","94,821","29,151",973,"3,638,072",311.59,0.957
04390,ARKANSAS,LINCOLN,"1,365","5,336,330",325.78,"5,037,651",307.55,"118,216","109,150","71,311","1,267","5,356,730",352.32,1.030
