"AGED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
02230,ALASKA                   ,SKAGWAY,358,"1,472,238",342.70,"1,280,805",298.14,"36,863","146,017","8,551",330,"1,196,260",302.09,0.738
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,504,"2,043,934",337.95,"1,821,560",301.18,"11,817","205,632","4,923",472,"1,292,388",228.18,0.778
02250,ALASKA                   ,UPPER YUKON DIVISION,153,"555,331",302.47,"474,265",258.31,"8,772","69,424","2,868",133,"426,531",267.25,0.000
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,764,"3,540,374",386.17,"3,261,330",355.73,"41,230","228,578","9,234",672,"2,126,731",263.73,0.789
02270,ALASKA                   ,WADE HAMPTON,400,"2,534,999",528.12,"2,097,175",436.91,335,"437,367",121,343,"1,461,717",355.13,0.849
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,757,"4,237,560",466.49,"3,938,935",433.61,"90,766","187,062","20,796",723,"4,142,984",477.52,0.824
02290,ALASKA                   ,YUKON-KOYUKUK,476,"1,407,762",246.46,"1,221,772",213.90,"7,161","177,216","1,611",432,"1,299,305",250.64,0.793
03000,ARIZONA                  ,APACHE,"6,373","26,825,462",350.77,"23,739,625",310.42,"474,357","2,454,510","156,969","6,063","22,155,546",304.52,0.919
03010,ARIZONA                  ,COCHISE,"15,968","64,968,010",339.05,"57,093,610",297.96,"2,168,321","4,972,308","733,769","14,852","55,579,774",311.85,0.902
03020,ARIZONA                  ,COCONINO,"12,628","50,437,201",332.84,"45,072,551",297.44,"421,969","4,806,471","136,207","11,923","46,403,995",324.33,0.864
