"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
03110,ARIZONA                  ,SANTA CRUZ             ,"3,512","8,047,251",190.95,"6,699,590",158.97,"344,567","887,966","115,126","3,093","10,346,703",278.77,0.762,,,,,,
03120,ARIZONA                  ,YAVAPAI                ,"38,410","126,582,237",274.63,"117,154,505",254.18,"1,042,317","7,714,286","671,127","35,524","146,494,552",343.65,0.885,,,,,,
03130,ARIZONA                  ,YUMA                   ,"19,342","71,276,649",307.09,"64,563,526",278.17,"698,319","5,762,733","252,069","18,101","78,661,626",362.14,0.956,,,,,,
04000,ARKANSAS                 ,ARKANSAS               ,"2,871","11,108,170",322.42,"10,229,292",296.91,"79,858","762,059","36,960","2,686","10,921,003",338.82,0.907,,,,,,
04010,ARKANSAS                 ,ASHLEY                 ,"3,298","15,074,658",380.90,"14,011,771",354.05,"196,962","792,373","73,551","3,160","14,355,422",378.57,0.963,,,,,,
04020,ARKANSAS                 ,BAXTER                 ,"9,126","33,054,323",301.83,"31,590,126",288.46,"136,787","1,276,003","51,405","8,758","33,034,905",314.33,0.935,,,,,,
04030,ARKANSAS                 ,BENTON                 ,"19,088","62,572,083",273.17,"58,513,452",255.45,"569,391","3,294,579","194,659","17,300","69,186,454",333.27,0.931,,,,,,
04040,ARKANSAS                 ,BOONE                  ,"6,126","22,454,369",305.45,"20,494,865",278.80,"196,199","1,702,518","60,785","5,777","21,742,141",313.63,0.924,,,,,,
04050,ARKANSAS                 ,BRADLEY                ,"1,701","7,486,413",366.77,"7,111,952",348.42,"48,511","300,267","25,682","1,632","8,279,792",422.78,1.038,,,,,,
04060,ARKANSAS                 ,CALHOUN                ,673,"2,591,414",320.88,"2,399,478",297.11,"29,840","145,742","16,352",637,"2,819,315",368.83,1.023,,,,,,
04070,ARKANSAS                 ,CARROLL                ,"3,745","12,163,871",270.67,"11,416,699",254.04,"203,102","495,107","48,961","3,461","13,610,040",327.70,0.840,,,,,,
